Index,Time,Dirty
1,4016.03,4
2,4017.12,232
3,4018.17,232
4,4019.22,232
5,4020.27,232
6,4021.31,232
7,4022.36,256
8,4023.41,256
9,4024.46,256
10,4025.51,256
11,4026.55,228
12,4027.60,256
13,4028.65,256
14,4029.70,256
15,4030.75,256
16,4031.80,244
17,4032.85,244
18,4033.90,244
19,4034.94,244
20,4036.00,244
21,4037.05,244
22,4038.10,244
23,4039.14,244
24,4040.19,244
25,4041.24,244
26,4042.30,244
27,4043.35,244
28,4044.40,244
29,4045.44,244
30,4046.50,224
31,4047.54,244
32,4048.59,244
33,4049.64,244
34,4050.69,244
35,4051.74,244
36,4052.79,248
37,4053.84,248
38,4054.89,248
39,4055.94,248
40,4057.00,244
41,4058.05,244
42,4059.10,244
43,4060.15,244
44,4061.19,244
45,4062.24,244
46,4063.29,244
47,4064.34,244
48,4065.38,244
49,4066.43,244
50,4067.48,244
51,4068.53,244
52,4069.58,244
53,4070.63,244
54,4071.67,20
55,4072.72,244
56,4073.77,244
57,4074.82,244
58,4075.87,244
59,4076.92,240
60,4077.96,244
61,4079.02,244
62,4080.07,244
63,4081.12,244
64,4082.17,244
65,4083.22,244
66,4084.27,244
67,4085.31,244
68,4086.36,244
69,4087.41,244
70,4088.46,244
71,4089.51,244
72,4090.55,244
73,4091.60,244
74,4092.65,244
75,4093.70,244
76,4094.75,244
77,4095.79,244
78,4096.84,244
79,4097.89,244
80,4098.94,244
81,4099.98,244
82,4101.04,244
83,4102.09,216
84,4103.16,244
85,4104.21,244
86,4105.26,244
87,4106.31,244
88,4107.36,236
89,4108.41,244
90,4109.46,244
91,4110.50,244
92,4111.55,244
93,4112.60,244
94,4113.64,244
95,4114.69,244
96,4115.74,244
97,4116.79,244
98,4117.84,244
99,4118.89,244
100,4119.93,244
101,4120.98,244
102,4122.04,244
103,4123.09,244
104,4124.14,244
105,4125.19,244
106,4126.24,244
107,4127.29,244
108,4128.33,240
109,4129.40,244
110,4130.44,244
111,4131.49,244
112,4132.54,216
113,4133.59,244
114,4134.64,244
115,4135.69,244
116,4136.74,244
117,4137.79,236
118,4138.83,256
119,4139.88,256
120,4140.93,256
121,4141.98,256
122,4143.04,244
123,4144.08,244
124,4145.15,244
125,4146.19,244
126,4147.24,244
127,4148.29,244
128,4149.34,244
129,4150.39,244
130,4151.44,244
131,4152.48,244
132,4153.56,256
133,4154.61,256
134,4155.66,256
135,4156.71,256
136,4157.75,256
137,4158.81,244
138,4159.86,244
139,4160.91,244
140,4161.96,244
141,4163.01,216
142,4164.06,244
143,4165.11,244
144,4166.16,244
145,4167.20,244
146,4168.25,240
147,4169.30,244
148,4170.35,244
149,4171.40,244
150,4172.45,244
151,4173.50,244
152,4174.54,244
153,4175.59,244
154,4176.64,244
155,4177.69,244
156,4178.74,244
157,4179.79,244
158,4180.84,244
159,4181.89,244
160,4182.93,244
161,4183.98,244
162,4185.04,244
