Index,Time,BlockSize,Count,Throughput
1,102436.82,2M,5,656.591
2,102452.83,2M,5,659.067
3,102468.78,2M,5,666.609
4,102484.55,2M,5,667.033
5,102500.32,2M,5,650.078
6,102516.49,2M,5,659.481
7,102532.43,2M,5,659.067
8,102548.39,2M,5,659.067
9,102564.34,2M,5,659.067
10,102580.29,2M,5,650.885
11,102596.44,2M,5,658.653
12,102612.41,2M,5,659.896
13,102628.35,2M,5,650.078
14,102644.52,2M,5,650.481
15,102660.69,2M,5,650.481
16,102676.86,2M,5,650.885
17,102693.01,2M,5,652.099
18,102709.14,2M,5,651.694
19,102725.27,2M,5,650.885
20,102741.42,2M,5,658.239
21,102757.39,2M,5,659.481
22,102773.33,2M,5,658.239
23,102789.30,2M,5,659.067
24,102805.25,2M,5,650.078
25,102821.43,2M,5,659.481
26,102837.39,2M,5,651.289
27,102853.54,2M,5,651.289
28,102869.69,2M,5,651.694
29,102885.82,2M,5,650.481
30,102901.99,2M,5,650.481
31,102918.15,2M,5,659.481
32,102934.10,2M,5,650.481
33,102950.26,2M,5,658.239
34,102966.23,2M,5,650.885
35,102982.39,2M,5,659.481
36,102998.33,2M,5,658.653
37,103014.30,2M,5,659.067
38,103030.25,2M,5,650.078
39,103046.42,2M,5,649.273
40,103062.61,2M,5,659.896
41,103078.55,2M,5,651.694
42,103094.68,2M,5,659.481
43,103110.63,2M,5,649.675
44,103126.81,2M,5,650.481
45,103142.98,2M,5,650.885
46,103159.13,2M,5,650.078
47,103175.30,2M,5,649.675
48,103191.48,2M,5,659.896
49,103207.42,2M,5,659.896
50,103223.36,2M,5,651.289
51,103239.50,2M,5,658.653
52,103255.46,2M,5,650.078
53,103271.63,2M,5,650.078
54,103287.80,2M,5,658.653
55,103303.76,2M,5,650.885
56,103319.91,2M,5,650.885
57,103336.06,2M,5,650.481
58,103352.22,2M,5,650.481
59,103368.38,2M,5,650.885
60,103384.53,2M,5,659.896
61,103400.46,2M,5,659.067
62,103416.41,2M,5,650.078
63,103432.58,2M,5,658.653
64,103448.55,2M,5,650.078
65,103464.72,2M,5,650.885
66,103480.88,2M,5,651.289
67,103497.02,2M,5,648.871
68,103513.23,2M,5,659.481
69,103529.17,2M,5,650.481
70,103545.34,2M,5,650.885
71,103561.49,2M,5,651.289
72,103577.64,2M,5,650.481
73,103593.80,2M,5,650.885
74,103609.96,2M,5,651.289
75,103626.10,2M,5,660.312
76,103642.02,2M,5,655.769
77,103658.05,2M,5,650.481
78,103674.22,2M,5,650.481
79,103690.39,2M,5,659.481
80,103706.33,2M,5,650.885
81,103722.49,2M,5,659.481
82,103738.44,2M,5,659.481
83,103754.39,2M,5,650.885
84,103770.55,2M,5,652.099
85,103786.67,2M,5,651.289
86,103802.82,2M,5,659.067
87,103818.78,2M,5,650.078
88,103834.95,2M,5,649.273
89,103851.15,2M,5,651.694
90,103867.28,2M,5,660.312
91,103883.21,2M,5,659.896
92,103899.15,2M,5,659.896
93,103915.09,2M,5,650.481
94,103931.25,2M,5,650.885
95,103947.40,2M,5,650.481
96,103963.56,2M,5,650.078
97,103979.73,2M,5,650.481
98,103995.90,2M,5,651.289
99,104012.04,2M,5,650.481
100,104028.20,2M,5,659.896
