Index,Time,BlockSize,Count,Throughput
1,104241.02,2M,5,8594.885
2,104242.29,2M,5,8665.917
3,104243.54,2M,5,8525.008
4,104244.81,2M,5,8456.258
5,104246.09,2M,5,8665.917
6,104247.34,2M,5,8594.885
7,104248.60,2M,5,8594.885
8,104249.87,2M,5,8594.885
9,104251.14,2M,5,8525.008
10,104252.41,2M,5,8594.885
11,104253.68,2M,5,8456.258
12,104254.97,2M,5,8665.917
13,104256.22,2M,5,8388.608
14,104257.51,2M,5,8594.885
15,104258.78,2M,5,8594.885
16,104260.04,2M,5,8525.008
17,104261.32,2M,5,8525.008
18,104262.59,2M,5,8738.133
19,104263.83,2M,5,8594.885
20,104265.09,2M,5,8456.258
21,104266.38,2M,5,8594.885
22,104267.65,2M,5,8594.885
23,104268.91,2M,5,8525.008
24,104270.18,2M,5,8665.917
25,104271.43,2M,5,8594.885
26,104272.70,2M,5,8594.885
27,104273.96,2M,5,8665.917
28,104275.22,2M,5,8665.917
29,104276.48,2M,5,8594.885
30,104277.74,2M,5,8456.258
31,104279.02,2M,5,8594.885
32,104280.28,2M,5,8456.258
33,104281.56,2M,5,8525.008
34,104282.83,2M,5,8525.008
35,104284.10,2M,5,8525.008
36,104285.39,2M,5,8456.258
37,104286.68,2M,5,8525.008
38,104287.95,2M,5,8525.008
39,104289.22,2M,5,7767.229
40,104290.61,2M,5,8594.885
41,104291.87,2M,5,8665.917
42,104293.12,2M,5,8738.133
43,104294.38,2M,5,8594.885
44,104295.64,2M,5,8594.885
45,104296.90,2M,5,8256.503
46,104298.22,2M,5,8665.917
47,104299.47,2M,5,8594.885
48,104300.73,2M,5,8388.608
49,104302.03,2M,5,8525.008
50,104303.31,2M,5,8594.885
51,104304.57,2M,5,8525.008
52,104305.85,2M,5,8665.917
53,104307.10,2M,5,8665.917
54,104308.36,2M,5,8594.885
55,104309.63,2M,5,8665.917
56,104310.88,2M,5,8738.133
57,104312.13,2M,5,8525.008
58,104313.40,2M,5,8594.885
59,104314.66,2M,5,8665.917
60,104315.91,2M,5,8525.008
61,104317.18,2M,5,8525.008
62,104318.45,2M,5,8665.917
63,104319.70,2M,5,8665.917
64,104320.96,2M,5,8738.133
65,104322.20,2M,5,8525.008
66,104323.47,2M,5,8525.008
67,104324.74,2M,5,8525.008
68,104326.01,2M,5,8665.917
69,104327.26,2M,5,8322.031
70,104328.56,2M,5,8665.917
71,104329.81,2M,5,8665.917
72,104331.06,2M,5,8525.008
73,104332.33,2M,5,8388.608
74,104333.62,2M,5,8665.917
75,104334.87,2M,5,8525.008
76,104336.14,2M,5,8594.885
77,104337.41,2M,5,8665.917
78,104338.66,2M,5,8594.885
79,104339.92,2M,5,8525.008
80,104341.20,2M,5,8665.917
81,104342.46,2M,5,8738.133
82,104343.70,2M,5,8738.133
83,104344.94,2M,5,8665.917
84,104346.19,2M,5,8594.885
85,104347.46,2M,5,8456.258
86,104348.74,2M,5,8665.917
87,104349.99,2M,5,8665.917
88,104351.25,2M,5,8322.031
89,104352.56,2M,5,8594.885
90,104353.82,2M,5,8665.917
91,104355.07,2M,5,8322.031
92,104356.38,2M,5,8594.885
93,104357.65,2M,5,8665.917
94,104358.91,2M,5,8322.031
95,104360.22,2M,5,8594.885
96,104361.49,2M,5,8594.885
97,104362.75,2M,5,8128.496
98,104364.08,2M,5,8456.258
99,104365.37,2M,5,8525.008
100,104366.64,2M,5,8256.503
