Time,Event,Value
419.408,AccDirty,0
419.408,AccDirty,0
419.408,AccDirty,7
419.408,AccDirty,7
419.408,AccDirty,14
419.409,AccDirty,21
419.409,AccDirty,21
419.409,AccDirty,28
419.409,AccDirty,28
419.409,AccDirty,35
419.410,AccDirty,35
419.410,AccDirty,42
419.410,AccDirty,49
419.410,AccDirty,49
419.411,AccDirty,49
419.411,AccDirty,49
419.411,AccDirty,49
419.411,AccDirty,56
419.411,AccDirty,56
419.412,AccDirty,56
419.413,AccDirty,63
419.413,AccPause,2
419.416,AccDirty,63
419.416,AccPause,4
419.419,AccDirty,67
419.419,AccPause,6
419.422,AccDirty,67
419.422,AccPause,8
419.425,AccDirty,67
419.425,AccPause,10
419.428,AccDirty,67
419.428,AccPause,12
419.431,AccDirty,67
419.431,AccPause,14
419.434,AccDirty,67
419.434,AccPause,16
419.437,AccDirty,67
419.437,AccPause,18
419.440,AccDirty,67
419.440,AccPause,20
419.443,AccDirty,67
419.443,AccPause,22
419.446,AccDirty,67
419.446,AccPause,24
419.449,AccDirty,67
419.449,AccPause,26
419.452,AccDirty,67
419.452,AccPause,28
419.455,AccDirty,67
419.455,AccPause,30
419.458,AccDirty,67
419.458,AccPause,32
419.461,AccDirty,67
419.461,AccPause,34
419.464,AccDirty,67
419.464,AccPause,36
419.467,AccDirty,67
419.467,AccPause,38
419.470,AccDirty,67
419.470,AccPause,40
419.473,AccDirty,67
419.473,AccPause,42
419.476,AccDirty,67
419.476,AccPause,44
419.479,AccDirty,67
419.479,AccPause,46
419.482,AccDirty,67
419.482,AccPause,48
419.485,AccDirty,67
419.485,AccPause,50
419.488,AccDirty,67
419.488,AccPause,52
419.491,AccDirty,67
419.491,AccPause,54
419.494,AccDirty,67
419.494,AccPause,56
419.497,AccDirty,67
419.497,AccPause,58
419.500,AccDirty,67
419.500,AccPause,60
419.503,AccDirty,67
419.503,AccPause,62
419.506,AccDirty,67
419.507,AccPause,64
419.510,AccDirty,67
419.511,AccPause,66
419.513,AccDirty,67
419.513,AccPause,68
419.516,AccDirty,67
419.516,AccPause,70
419.519,AccDirty,67
419.519,AccPause,72
419.522,AccDirty,67
419.522,AccPause,74
419.525,AccDirty,67
419.525,AccPause,76
419.528,AccDirty,67
419.528,AccPause,78
419.531,AccDirty,67
419.531,AccPause,80
419.534,AccDirty,67
419.534,AccPause,82
419.537,AccDirty,67
419.537,AccPause,84
419.540,AccDirty,67
419.540,AccPause,86
419.543,AccDirty,67
419.543,AccPause,88
419.546,AccDirty,67
419.546,AccPause,90
419.549,AccDirty,67
419.549,AccPause,92
419.552,AccDirty,67
419.552,AccPause,94
419.555,AccDirty,67
419.555,AccPause,96
419.558,AccDirty,67
419.558,AccPause,98
419.561,AccDirty,67
419.561,AccPause,100
419.564,AccDirty,67
419.564,AccPause,102
419.567,AccDirty,67
419.567,AccPause,104
419.570,AccDirty,67
419.570,AccPause,106
419.573,AccDirty,67
419.573,AccPause,109
419.577,AccDirty,67
419.577,AccPause,112
419.581,AccDirty,67
419.581,AccPause,115
419.585,AccDirty,67
419.585,AccPause,118
419.589,AccDirty,67
419.589,AccPause,121
419.593,AccDirty,67
419.593,AccPause,124
419.597,AccDirty,67
419.597,AccPause,127
419.601,AccDirty,67
419.601,AccPause,130
419.605,AccDirty,67
419.605,AccPause,133
419.609,AccDirty,67
